Date,Cell ID,Node Count,Degree,Segment Length,Fragment Length,Fragment Diameter,Graph Density,Graph Efficiency,Clustering Coefficient,Node Diffusivity,Segment Diffusivity,Fragment Diffusivity,Node Diffusivity Std,Segment Diffusivity Std,Fragment Diffusivity Std,Fusion Rate,Fission Rate,TMRM Intensity,Optical Flow (fg)
20240729,560,3237.8,1.604748128624823,0.9930369794915304,3.056126639736602,2.075691405236618,0.2581382135014556,0.7013874953281991,0.0631105750787594,0.0010814329114732,0.0006423047614092,0.0007077973307437,0.0007836889809842,0.0004895291638633,0.000580139641088,0.003107810271508,0.003499774257343,594.3123701524776,1.4946801662445068
20240729,802,2301.8,1.5805543364849488,0.943275325106659,2.7067053528870044,1.8842115337345875,0.2868529315069962,0.7594290784709676,0.076161061169513,0.0013292438782859,0.0008845936528137,0.0010404033470595,0.0009082707636457,0.0007360572713498,0.0010374179722296,0.0030504714947073,0.0029476136743504,519.381627697689,1.7152211666107178
20240729,1000,,,,,,,,,,,,,,,,,,
20240729,580,2156.55,1.6149811266711012,0.9590534406791396,2.9635473662731693,1.9574922150256584,0.2595519605722006,0.690677593006878,0.0739457542869674,0.0015223566313925,0.0009866633566651,0.0011337896633341,0.0010123212954884,0.0007548196058744,0.0008991338793424,0.0027629373197346,0.002556412484498,628.1810241332843,2.079711675643921
20240729,260,2953.9,1.4825201808959785,0.940602654713142,2.2373335908833254,1.623387495456591,0.2934929880126237,0.7459884146908294,0.0711461346900261,0.0017562375810895,0.0011388626661444,0.0014082747214188,0.0012346502814379,0.0008755698532761,0.0011133197292937,0.0039055461010936,0.0043086425638038,558.9826318561126,1.6768018007278442
20240729,709,3116.4,1.583320132059289,0.9531464838684618,2.7610766280530887,1.919725869541523,0.2749797968465844,0.7363040304483224,0.0592771954418398,0.0012388497898046,0.000758157085137,0.0007422829440819,0.0008237763487053,0.0005737608705438,0.0007066156538715,0.0035709279952167,0.0037782735480616,657.9888745220717,1.4146568775177002
20240729,500,1795.45,1.5519281033779724,0.9370721309709064,2.5371659476063444,1.764618906380275,0.275419108827014,0.7553628872093321,0.0671615046797863,0.001670476339752,0.0009892085632258,0.0012027262027885,0.0014244485517003,0.0007455327359574,0.0009430124561825,0.0035490182447076,0.0030675492111405,560.9613493064313,1.73753023147583
20240729,1179,,,,,,,,,,,,,,,,,,
20240729,936,2071.75,1.498607226410371,0.8757632764617276,2.17360871191818,1.538313959603476,0.2792551628646145,0.7583973441651908,0.0666227124494832,0.0017628453387556,0.0011048896341073,0.0013384437309763,0.0011513984109963,0.0007805927170322,0.0009093224817338,0.0031687601272186,0.0035360270024853,550.3490048585066,1.799834966659546
20240729,448,3646.2,1.6499296195126991,0.9369816574154196,3.122692796773925,1.934159379607829,0.253789529892666,0.709024291413258,0.0649013033529178,0.0014174040833396,0.0009146922371044,0.0010981351714596,0.0008846780422922,0.0006561562973136,0.0008363253779934,0.0024181156385378,0.0029088806400279,687.6125904921935,1.8542882204055784
20240729,1241,,,,,,,,,,,,,,,,,,
20240729,1041,,,,,,,,,,,,,,,,,,
20240729,944,2946.3,1.6531842162533572,0.946236126054682,3.1329901962683944,1.9970267620937263,0.25814423698012,0.7146432592383304,0.0716648563087349,0.001395561862497,0.0008265542706821,0.0008678817513358,0.0008799125193724,0.0005369723000926,0.0006948275582785,0.0033294395898939,0.0030484986314539,603.0202201988585,1.8824082612991333
